E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,B5,B8,B9,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12,flux_13
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.28099233969635834,0.08290143680414266,0.44841371516090484,0.42055399229500656,0.0856556928385263,0.015990820436285427,0.18618006889035257,2.3493582985651438,0.3272800561953721,0.22123225806492156,0.027268166096162113,0.02278251259442158,0.0035764766009992663,-0.023237101044792215,0.0460196136392138,-0.00022729422518531078,-0.02369168949516285,0.046019613639213794,-0.00022729422518531772,0.02323710104479223,0.005752298556844932,0.032565876202636415,0.005752298556844931,0.027268166096162116
0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.4305943642251538,0.28371172192929456,2.3605009074433907,0.33372739494160675,0.08399772786186073,0.19532315270911377,0.01630583577019077,0.21700944002656167,0.08747454013108028,0.4523157777914837,0.02674767914425947,0.02353824631631548,0.003114592022422414,-0.02358566671907626,0.04712391303539172,-2.3710201380387763e-05,-0.023633087121837048,0.047123913035391735,-2.3710201380394702e-05,0.02358566671907626,0.005865617461137747,0.032565876202636415,0.005865617461137745,0.026747679144259462
1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.4120174034710759,0.27867369246465484,2.3397672824445097,0.32182977101006877,0.08196734262299071,0.17842501216081108,0.015724520886175646,0.22480470438980488,0.08410874909354225,0.4450854992139765,0.02770849094115068,0.02214080161617059,0.003969451968034943,-0.022939920294643163,0.04508072191081376,-0.00039955933923629255,-0.02373903897311574,0.04508072191081377,-0.00039955933923629255,0.022939920294643167,0.005656503939958309,0.032565876202636415,0.00565650393995831,0.027708490941150684
1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.4304035471824337,0.2959195734656047,2.3444283805104473,0.3220434741714498,0.08604359821403003,0.18827106136245084,0.015734962368372987,0.22371692244901034,0.08796924844107572,0.47243768809680653,0.027574415472698476,0.02321048576542267,0.003026331161989245,-0.023879285038065953,0.047089770803488605,-0.00033439963632164726,-0.02454808431070924,0.047089770803488605,-0.0003343996363216334,0.02387928503806595,0.005660260002581227,0.032565876202636415,0.005660260002581228,0.02757441547269848
1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.4126589087577509,0.2694619803678199,2.353718009858423,0.33147895374823105,0.08042230795332651,0.18450424755732187,0.01619597750445106,0.219240929241007,0.08381134415046272,0.42985042094576864,0.027022723204616694,0.02243930655155558,0.004017525265388549,-0.022722252245391865,0.04516155879694744,-0.00014147284691813644,-0.02300519793922815,0.04516155879694744,-0.00014147284691814338,0.022722252245391865,0.005826098691856005,0.032565876202636415,0.005826098691856005,0.027022723204616697
1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.4207366487302143,0.2778805354225712,2.3483635761768418,0.3312766823897441,0.08287107532531028,0.18591191623260792,0.016186094577240125,0.22091362020893332,0.08567589863924381,0.44348621006571065,0.027228892122024666,0.022777232001571876,0.0034805411707810228,-0.023262791476407765,0.04604002347797965,-0.00024277973741793774,-0.023748350951243644,0.04604002347797965,-0.0002427797374179308,0.02326279147640776,0.005822543555447629,0.032565876202636415,0.005822543555447631,0.027228892122024666
1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.4203838320497914,0.28371120177353254,2.3502058960383434,0.32384877023485054,0.08292672631775294,0.18640801972515347,0.015823168675594294,0.2215031252861625,0.08563610242628261,0.45271916067412926,0.027301552060954994,0.022786476647953774,0.0036597436560656016,-0.023214142526421587,0.04600061917437536,-0.00021383293923390306,-0.023641808404889383,0.04600061917437536,-0.00021383293923388225,0.023214142526421584,0.005691990020149227,0.032565876202636415,0.005691990020149228,0.027301552060954994
1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.3949307209664527,0.24461038971255697,2.364653206779626,0.3411661810027168,0.08204004398220106,0.1807867475555267,0.016669292968133024,0.2148235341639978,0.08150984734113144,0.38983728087435643,0.026478253498326297,0.021640175056209902,0.005020599616976859,-0.021548914468779674,0.043189089524989586,4.563029371511956e-05,-0.02145765388134943,0.04318908952498958,4.563029371511956e-05,0.021548914468779674,0.005996362116879878,0.032565876202636415,0.005996362116879879,0.026478253498326297
1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.44404320835181205,0.31799559057759497,2.33872452732377,0.3145534559566184,0.08377459673888031,0.19112473198918348,0.015369001980409792,0.22710785468084557,0.08947763449783369,0.5079349932663508,0.027992367647230898,0.02382937866840379,0.0022527763165553424,-0.024784484999539662,0.04861386366794346,-0.00047755316556794686,-0.025739591330675556,0.048613863667943465,-0.00047755316556794686,0.024784484999539665,0.005528614886541404,0.032565876202636415,0.005528614886541405,0.027992367647230898
1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.4207825185967991,0.280084944575718,2.3480514850219256,0.32811012089469355,0.08276618044826599,0.18639596541340517,0.01603137718670785,0.22148880150476408,0.09247655945698476,0.44701650006678356,0.027299786571340037,0.02268772382065643,0.0036104663420586484,-0.023188522024968905,0.04587624584562533,-0.0002503991021562471,-0.02368932022928139,0.045876245845625316,-0.00025039910215624017,0.0231885220249689,0.005766887835608857,0.032565876202636415,0.005766887835608857,0.02729978657134004
1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.42036459725451353,0.28174046704139455,2.350428247642097,0.3265977743332385,0.08301253379466864,0.18600213454275003,0.01595748431776008,0.22102082395308542,0.08004295302523015,0.4495657590944576,0.02724210560873424,0.02286044880449986,0.0035485845516379615,-0.023276984930798064,0.04613743373529791,-0.0002082680631491085,-0.023693521057096274,0.046137433735297925,-0.0002082680631491085,0.023276984930798057,0.005740306720200385,0.032565876202636415,0.005740306720200385,0.02724210560873424
1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.4203790563704848,0.2807313699838718,2.348626471399835,0.32737411752232043,0.08287493931012441,0.18614311686098806,0.015995416248834212,0.22118834906357077,0.08562210837896395,0.44815069756797393,0.027262754055655796,0.02277479529755208,0.00358629948064864,-0.023225624936279617,0.0460004202338317,-0.00022541481936377145,-0.023676454575007166,0.0460004202338317,-0.00022541481936377838,0.023225624936279617,0.005753951785708157,0.032565876202636415,0.005753951785708158,0.0272627540556558
1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.42069911945447763,0.2812089867428783,2.349965461384465,0.3272020227818145,0.08292342010204205,0.18621072436664984,0.015987007743514792,0.22126868505887276,0.08568355480483283,0.44863201757878385,0.027272655935622354,0.02278891487418957,0.0035683275239088603,-0.023246621642951534,0.046035536517141096,-0.0002288533843809816,-0.023704328411713493,0.046035536517141096,-0.00022885338438097258,0.023246621642951517,0.005750927035776022,0.032565876202636415,0.005750927035776023,0.027272655935622354
1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.43457365538667353,0.300532115934412,2.3702724041040906,0.31786434962934057,0.0846821674485493,0.18194112601446313,0.015530771404491436,0.21619524787456906,0.08825941280311886,0.478727857631132,0.026647325212920365,0.023945865796799935,0.0033649465966489045,-0.023614122206535703,0.04755998800333564,0.0001658717951321248,-0.023282378616271467,0.047559988003335635,0.00016587179513211786,0.023614122206535703,0.005586807399451808,0.032565876202636415,0.005586807399451807,0.02664732521292037
1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.4079887317482512,0.26452153527505906,2.329846656480121,0.3356189215049494,0.08131818679928941,0.1895914288467263,0.016398255277741882,0.22528587599899416,0.08332534781931439,0.4228492976617886,0.027767798148391823,0.021769085925108178,0.00379714218697888,-0.02286987094326056,0.04463895686836873,-0.0005503925090761946,-0.023970655961412936,0.04463895686836874,-0.0005503925090761946,0.022869870943260567,0.005898863072396978,0.032565876202636415,0.005898863072396978,0.027767798148391823
