E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,B0,B6,B8,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12,flux_13,flux_14,flux_15,flux_16,flux_17,flux_18,flux_19,flux_20,flux_21,flux_22,flux_23,flux_24
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,0.19150306191892788,0.5087009011130407,0.35871935953254513,0.20040102767657106,0.021425519721935477,0.6839369526599707,7.068183538390957,1.1872849656991886,0.19471839188879508,1.8589040949389384,0.006872694980371534,-0.13256191795623415,-0.00995828841755287,0.12829013862769953,0.06432801038369258,-0.1348979763707679,-0.0449336989281518,0.15135654664074774,-0.1629874090087298,0.20311975559917184,0.019646720447074155,-0.2901615941169974,-0.17333721921733966,0.018123537838564477,0.06147001586705699,-0.3811624565162365,0.11496191493260087,2.4759088840496657e-06,-0.007241882609324953,-0.022131606537878726,0.027343116155045102,0.03160524304832614,0.001247224399228782,0.0025711767673870225,0.03160524304832614
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,1.1951608079687241,0.69722657309453,0.20388840582346127,0.3630601111062993,1.8689943148760653,0.19400463570803964,7.147630644467195,0.02081891087489384,0.5169766110091657,0.1979348114964937,0.0035121571134075083,-0.13469798903300828,-0.010185283401876483,0.13056993023857355,0.06286124244535865,-0.13720723195369047,-0.046096046447456684,0.15370215274799987,-0.16509495863552498,0.20945817275621736,0.019820405484967843,-0.29485644996486304,-0.176437705266082,0.01837013479508597,0.06271461466535452,-0.38731599757964474,0.11624380677729758,7.415037187873119e-05,-0.008215059735365807,-0.02257860739962289,0.027510905007038032,0.03212730838822877,0.001247224399228782,0.002604763637194835,0.032127308388228776
1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,1.1795063436601072,0.6709919130263121,0.19700063806089096,0.3544608590478406,1.848897423915456,0.1890538020767211,6.9895659596999025,0.022018320181992325,0.5006190140825478,0.1915770666641444,0.010087459611895092,-0.13047537879887006,-0.009742582653911576,0.12606786083255458,0.06570472348258334,-0.13264596184070276,-0.0438015155612651,0.14905950602058277,-0.16092096857128585,0.1969975659169443,0.01947597284439688,-0.2855763008225511,-0.17030991778359586,0.017882110297329404,0.06025494156216323,-0.37514724152290624,0.11369217652260724,-6.648897370718429e-05,-0.0062999133951041515,-0.02169265752434313,0.027173388718333025,0.031095366470896193,0.001247224399228782,0.0025382922801079513,0.03109536647089619
1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,1.157482533462263,0.659813150392088,0.18711645293890006,0.3023725731790407,1.8919061209836165,0.14822273573722639,6.755138594904538,0.020429218232720335,0.5560677428098224,0.18091037083269038,0.006634532651631193,-0.07295127736325394,-0.00914167620670295,0.12059560535598832,0.058395656409657146,-0.12537104751305955,-0.013079664219301845,0.11517192568770279,-0.13384098555023044,0.18722091828609858,0.017612110054437205,-0.3182181370750517,-0.11272952792436103,0.013984815949811403,0.05575314881408,-0.35558852762929793,0.11121917733277104,0.0029248170309730745,-0.006874733945444529,-0.021759897656067062,0.026789288775596824,0.029364027633277796,0.001247224399228782,0.001990082303161517,0.029364027633277792
1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,1.2141474953813074,0.7036900076952947,0.21194760377890917,0.406220188782488,1.8357470402118734,0.22810677136818158,7.327781730804615,0.02224444718227765,0.4700618822582454,0.20677682396367333,0.007067651681056058,-0.1822973624235235,-0.010715583349454223,0.13501466631133133,0.0694271222068731,-0.14321198260789314,-0.07110389056191568,0.18172278363858368,-0.18750722650365037,0.21670476608243297,0.021353120444774214,-0.2672738758927683,-0.22373252309216746,0.02162406514598757,0.06612185481465149,-0.402924500112108,0.1180398362220307,-0.002368676679246574,-0.007521463717231933,-0.022498358313143292,0.028025915484648077,0.033562478175483086,0.001247224399228782,0.0030626290000199865,0.03356247817548308
1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,1.1574820109292139,0.623220551038791,0.1814537017450813,0.3381870118343361,1.8298512032304026,0.17766317684403762,6.920931387868861,0.019581389586226898,0.4629221511316497,0.177160277089326,0.006261549086261151,-0.12071254311606316,-0.005456322547336043,0.11582789196991136,0.057460700398058444,-0.12203499094096919,-0.03701400654951792,0.1396714126798676,-0.15281471875751543,0.1811690545682662,0.018812826951693694,-0.264039678632738,-0.15856671906642042,0.016817040097509055,0.05705657442356977,-0.35038480134207406,0.11300227077497825,-0.00015575758773709973,-0.006825983643526091,-0.022099805023426115,0.028144225803946897,0.0287553402716539,0.001247224399228782,0.0023853583757034885,0.028755340271653898
1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,1.2097598427720502,0.7321109594174448,0.21548406596562353,0.3747702990235988,1.879841646144389,0.20238452958609204,7.171148761649543,0.02289234216967645,0.5450288923725761,0.20857778133262087,0.007357530045382035,-0.14195460205509827,-0.013632948503880055,0.13821802990163887,0.06982090299044773,-0.14514195986154776,-0.0512808464665403,0.16055647389956945,-0.17095915069683337,0.22064530451683181,0.020294374548803215,-0.31089088369629325,-0.1850194803729691,0.019150570530908774,0.06493272342045518,-0.4054946991681717,0.11627571606012092,0.00013695811917715378,-0.0075547902004246235,-0.022125063709852254,0.02661162033524688,0.03385479619851694,0.001247224399228782,0.0027172745716755524,0.03385479619851694
1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,1.4243645212317366,1.1066340493887068,0.40024718023819744,0.43598212827640537,2.105188088513453,0.26410683170633703,8.098406374239369,0.026318552628063464,0.7962061045516484,0.3774968498948438,0.0112677863339975,-0.20723145047431565,-0.005867453489893048,0.13159951427631858,0.08463570578782631,-0.27656856853878986,-0.10208254529759808,0.18543303905421696,-0.19977319431306814,0.37587630157429064,0.025986704789877003,-0.4537261391349028,-0.2631651414863624,0.025030536663638064,0.08451020413677668,-0.5901502557163156,0.1308854727534276,-0.0036673956871445743,-0.016165505535451447,-0.02630442376484627,0.01259595585600129,0.06127248471586515,0.001247224399228782,0.0035459764610918233,0.06127248471586515
1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,1.0773478428713748,0.5195490966248789,0.1296680091023053,0.3196093054434287,1.7312792707847193,0.15950436549255317,6.4077761666811215,0.019488510316674656,0.39476233184721266,0.12751731727466786,0.0051640365419454715,-0.10294753765262717,-0.010730997053910741,0.1212500428733304,0.05482165891151316,-0.0851627035787248,-0.023608887311545645,0.13330954101587258,-0.14439886808044766,0.14008005498142584,0.01696644279742459,-0.2253038265361809,-0.13662524622923647,0.015076973293600913,0.05089623467224781,-0.2980615527363206,0.10440706324261043,0.0012388493723838462,-0.003786132084450153,-0.020063519937605887,0.03096984695769284,0.02069766377096049,0.001247224399228782,0.0021415528020376066,0.020697663770960488
1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0,1e-06,0.0,1.1481482365566391,0.6253289163239933,0.17815578424402811,0.33919159323954917,1.8029500142883392,0.179505961738725,7.105218204521542,0.02934926357421996,0.4623775474023233,0.17395039193446582,0.006111301077114336,-0.12054173051548414,-0.007291845824232776,0.11354490340676156,0.046731019098653896,-0.11944680349972592,-0.041400077595437845,0.1410978340758583,-0.15362135385504522,0.18683019669609577,0.018896134622752095,-0.2636954385697002,-0.15689185974031206,0.01688517304640372,0.05564540242213927,-0.34859194782631797,0.11627795643079718,-0.00011903987900618342,0.0014993437897899003,-0.01794204294069296,0.02778386654637134,0.02823433555562734,0.001247224399228782,0.0024101001509075895,0.02823433555562734
