E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,B5,B6,B9,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12,flux_13,flux_14,flux_15,flux_16,flux_17,flux_18,flux_19,flux_20,flux_21,flux_22,flux_23
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0272168284422228,1e-06,0.0,0.2407259929476876,0.311509633504512,0.08689759365495647,0.06808406958638692,0.730566996387183,0.39531541402736214,0.08912598033007736,0.10254911901685877,0.7875609335656093,0.15178461932141504,0.0011221193002113883,0.005200577014368612,0.006160694047783344,0.05348964034090995,-0.041352105675160136,-0.0017277466591452476,-0.007455114753296438,0.026152648923873027,-0.03385473316773824,-0.008801265918685987,0.017356882652201748,-0.006160732384795349,-0.013220041345430035,0.0008771119990672426,-0.022816380176809203,-0.028425389012069386,0.021858858740223367,-0.026253497319342414,-0.039218561128964234,0.00451285037232385,0.016005145058608644,0.016005145058608637,0.08464549196667302,0.006404528005049357
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0272168284422228,1e-06,0.0,0.7856854963117109,0.08668344803656307,0.1522834816985711,0.7280107683175824,0.06809275615300847,0.08905661844125783,0.24017812619947138,0.31192503531509336,0.10221739816168408,0.3957123165807413,0.0009441047622410353,0.005229179468470138,0.006122937140282347,0.053273199650464315,-0.04125761621065491,-0.0017022068006438407,-0.0074390809994971975,0.025992782125280424,-0.03377006614740125,-0.008791868575387536,0.017331180891013955,-0.006145651235740222,-0.013204599776221815,0.0008672564819631621,-0.02276906726085857,-0.028427712814611046,0.021951788300032013,-0.02619657177618668,-0.039225136131172254,0.004502752083030663,0.016005145058608644,0.016005145058608637,0.08457961699754364,0.0064255774241502184
1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0272168284422228,1e-06,0.0,0.7883536358741942,0.08698804688275011,0.1515737766155109,0.731648736717516,0.06808039900346971,0.08915523919195852,0.24095750191262247,0.3113344070753422,0.10268942035930621,0.39514799102778564,0.0011974863912596334,0.005188403140348014,0.006176688272475295,0.05358122367471959,-0.04139203210896473,-0.0017385178181969219,-0.007461890050166585,0.026220356478080836,-0.03389052154799417,-0.008805218223897203,0.017367698794887,-0.006167102287908799,-0.013226546655176807,0.0008812922853051171,-0.02283638313622318,-0.02842441505024843,0.021819582260909062,-0.026277548610454407,-0.03921578378933724,0.004517116221628751,0.016005145058608637,0.016005145058608637,0.08467327994166167,0.006395631530206988
1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0272168284422228,1e-06,0.0,0.8150650879777903,0.08802288857902586,0.15881485600867912,0.7842004715963731,0.07008293198687365,0.09141740907803347,0.25041908605987634,0.31370131368888876,0.10712172503061039,0.39740949122975194,0.0027067041178304163,0.0036523696228242452,0.006875352438928822,0.05607046413402438,-0.0425857838076869,-0.002255323521927168,-0.007695998060966689,0.02901885334029239,-0.03506031346009315,-0.00886747425924209,0.016880537135949718,-0.006230726513566143,-0.01347835348794519,0.0010264641758400517,-0.024401647273197002,-0.02916938891418596,0.02298449988233848,-0.027088359251548032,-0.0403762977674784,0.004782115092590614,0.01600514505860863,0.016005145058608637,0.08682172736917854,0.006701167730121657
1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0272168284422228,1e-06,0.0,0.7712180361904503,0.08618528144925897,0.14767207882112218,0.6995493808134695,0.06689899977490923,0.08774401198582821,0.23500137466793763,0.31022407873022445,0.09987333810881352,0.3940871093849013,0.00023847463670170765,0.006067520471381637,0.005757746794617982,0.0519892684381513,-0.04061018383149766,-0.0014140125724089493,-0.007311172168908657,0.024517028068980783,-0.033138958656906595,-0.00875433798538442,0.017611156230997602,-0.006115704684639081,-0.013061617078689698,0.0007917478369530769,-0.02189228144771155,-0.02798117754416496,0.021201929221594636,-0.025754958565279828,-0.038532627621157466,0.004357540552327885,0.016005145058608644,0.016005145058608637,0.08333299711446365,0.00623100000910498
1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0272168284422228,1e-06,0.0,0.7785442871385585,0.08221965047914778,0.14718976486008037,0.7481842594217627,0.06754554889571934,0.09061109544664489,0.23949410171159402,0.31749171833011364,0.10004379734353096,0.40103109624475514,-0.0014437940852405906,0.00578844497307167,0.003345984258583838,0.05130840982351944,-0.04138427543953384,-0.0011349048583830026,-0.00739591479668057,0.02593456553974261,-0.03339615050077836,-0.008502083587008387,0.01577097981047472,-0.005825676994622411,-0.012682632813970893,0.0008386897850198871,-0.024512514742765387,-0.028257184912575325,0.02104786943552344,-0.025983550172432392,-0.03886573209872134,0.00445741710302075,0.01600514505860863,0.016005145058608637,0.08605594825790752,0.006210648847804654
1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0272168284422228,1e-06,0.0,0.7955865446425815,0.0909700266537902,0.1557868017155476,0.7162654616146293,0.06858546851887355,0.08789151539713888,0.24196692366720032,0.3065836190907301,0.10478649948153838,0.3906087718100906,0.0033276914967292903,0.004693964525435133,0.008572258645055366,0.055411110009378636,-0.04135035496987989,-0.002235580620061583,-0.0075076621140210565,0.026382241856380127,-0.0342604354737493,-0.009061646818730392,0.018725331695024935,-0.006452205299948885,-0.013676396162888566,0.0009079985597852975,-0.021383133635611767,-0.028584867889086714,0.022562071053818418,-0.026495708547157177,-0.03954418281449889,0.004564329515781661,0.016005145058608637,0.016005145058608637,0.08347308532186304,0.006573399458159237
1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0272168284422228,1e-06,0.0,0.8617893773718235,0.10895760929500994,0.16416458165964334,0.8036181378854399,0.06980809218234171,0.09593747763010242,0.2524408428540096,0.27517246440345244,0.15019415183288862,0.3605964628061307,-0.000493076362728162,0.005334900049029024,0.006908365751766202,0.04858714219803582,-0.0421017660752105,-0.004804190214990008,-0.007411661144174774,0.02145965629004827,-0.03709058880443375,-0.008783332394191077,0.017093206718798014,-0.0076857880247148186,-0.01468181702530055,0.0010643482685980558,-0.023757612561414017,-0.028877498201376715,0.024017141709024536,-0.02828189423661621,-0.04012300739258312,0.006127518248298103,0.016005145058608644,0.016005145058608637,0.09111456571884934,0.006926898557817562
1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0272168284422228,1e-06,0.0,0.7590751135622357,0.07871220967377668,0.1470762896520417,0.7029617408386634,0.06761512246221207,0.08648096797506662,0.23669344288677105,0.3284930225773552,0.08473641809078887,0.4115424749508846,0.0017800228112674343,0.005201730802747859,0.005877582317198444,0.05563841621361444,-0.041108295691238965,-0.0004040971261448541,-0.007462527886507633,0.028057519288108422,-0.0326138244562079,-0.00883670436643642,0.017483670402719396,-0.005593797289570881,-0.012608557313335284,0.0008415862181263161,-0.02236410313216938,-0.02832974809995378,0.02101971602378753,-0.02544829810380557,-0.038987963778498745,0.0038006848714182066,0.01600514505860863,0.016005145058608637,0.0821334481022617,0.0062058607793494215
1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0272168284422228,1e-06,0.0,0.6465486608168736,0.0810671656401775,0.12581483234149926,0.7737534983111863,0.056079565352254224,0.07385846624968093,0.30885748022646253,0.28151620780642145,0.10986830969622247,0.3666576977128771,0.001999898365267594,0.003834884742974363,0.005641496897136095,0.047724153704623164,-0.031755072023118135,0.00028654341609854125,-0.005615790164167045,0.02705928131972192,-0.027773503856298756,-0.013238934256124447,0.01312397864129733,-0.005755296410028914,-0.011163687867111572,0.0007247209448064842,-0.02432913389434134,-0.023655773280594466,0.01815375011851061,-0.021291302223133836,-0.032294888687161745,0.00455491377539852,0.016005145058608644,0.016005145058608637,0.0701454972888345,0.005308736950977976
1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0272168284422228,1e-06,0.0,0.8703649810518871,0.09124773428716422,0.1668336057504134,0.7194248232442754,0.07482213471582745,0.09799218810729725,0.21390107720868726,0.32564986969373294,0.10074830503768106,0.40882593734702083,0.0004272675769848855,0.006058443219198557,0.006509837021777893,0.056800701475703264,-0.04669306605697557,-0.003043157916372455,-0.008486132332297183,0.025669538855755496,-0.03742850818309562,-0.006984302933368273,0.019724205200211856,-0.006464492115628038,-0.014509766603140812,0.0009948693436509786,-0.022546206370396067,-0.031042692388446997,0.0240273010068636,-0.02912505302165523,-0.043099008874647744,0.004538536371840286,0.01600514505860863,0.016005145058608637,0.0930659830109466,0.007039517607177833
1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0272168284422228,1e-06,0.0,0.7948296580857972,0.08908270974021036,0.15340755170674306,0.7423288307005244,0.06930671855593763,0.0898107596471415,0.2452248724805972,0.30018362569839524,0.10509364973178842,0.3844937919175541,0.0013308963910785565,0.005364961423399433,0.006280587365630504,0.055094149855458005,-0.041975658508250815,-0.001459524271940859,-0.007492527335763227,0.026975682004851828,-0.034171096630763086,-0.00898826156458227,0.017800717366417564,-0.006312811461717074,-0.013034759407569872,0.0009423216096879296,-0.02284545222222691,-0.02893235990618439,0.02204408207698192,-0.026445061056362507,-0.03994066786882455,0.004429909922979626,0.01600514505860863,0.016005145058608637,0.08529584646450665,0.006473007380354995
1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0272168284422228,1e-06,0.0,0.7844927004597995,0.08598886079498452,0.15110207786672522,0.7256504689012216,0.06757528230316497,0.08883618444901717,0.23885009516511896,0.3163376580364658,0.10149165054145844,0.3999284301859303,0.0010362447885731152,0.0051325354986296815,0.006110444285989586,0.05282400253321227,-0.041090970385336587,-0.0018361899783365457,-0.007438995974300222,0.025811452978736573,-0.033721212587494324,-0.008723439475565448,0.01717214441201288,-0.006097445064162352,-0.013294790923924204,0.0008505082170212183,-0.02280186030642635,-0.028214494892696423,0.021780430615159385,-0.026171908832501388,-0.03891816119362535,0.004546544113020984,0.016005145058608623,0.016005145058608637,0.08437026453207527,0.006375728276323801
