E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,B6,B8,B9,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12,flux_13,flux_14,flux_15
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0770164793635294,1e-06,0.0,0.21457995134181784,0.6506018346873043,4.574379814924409,0.7624724250752826,0.7572505177771172,0.08749423458301271,0.06483519503577982,0.579659991088462,1.6428309899250064,0.3118995458855101,0.1767056332841525,0.014842877801348646,0.029998601927841206,-0.00018043374569551296,-0.011591311751941336,-0.001962639932971147,0.1645720822531795,0.011410878006245812,-0.01662508398862428,0.17652519953845697,-0.0023244454663072234,-0.016805517734319802,0.015517529659828666,0.015517529659828666,0.017865050896868313,0.004467519144973899
0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0770164793635294,1e-06,0.0,0.3024603584372732,0.08670184470335905,0.5731862757204497,1.6738727769071298,0.7678146135487879,4.548459454613421,0.7393294451387901,0.2208681347281934,0.06480193415445237,0.6519202347543951,0.16736439515601936,0.014391996001285075,0.0291006376112386,0.00027402009072333144,-0.010363153230924738,-0.0018987240987910353,0.15646637396594285,0.010637173321648066,-0.016564740190799468,0.16763841524674272,-0.0027076121486662233,-0.016290720100076136,0.015517529659828666,0.015517529659828666,0.018202616421162027,0.004332316156733954
1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0770164793635294,1e-06,0.0,0.32078226753360173,0.08822915154598293,0.5857518902072,1.6142112033416662,0.7475457133094948,4.598980093001151,0.7842149615004821,0.20902577572220535,0.0648660434685001,0.6493828184888398,0.1854110847667189,0.01526609687749955,0.03084021105795831,-0.0006050484815005586,-0.012737923555379588,-0.0020231437940401303,0.1721246972504688,0.012132875073879057,-0.016684192190039145,0.18480603628521824,-0.0019665592734100235,-0.01728924067153969,0.015517529659828666,0.015517529659828666,0.01755382354170827,0.004594751548950713
1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0770164793635294,1e-06,0.0,0.32181751627785754,0.08731938301011037,0.5930741085332231,1.6688286232414273,0.7688810409913736,4.673864194065234,0.7665308961336976,0.21768986878653676,0.06482785557124914,0.6772440877918162,0.18209338149991805,0.014457545793222523,0.03033527696095567,-0.0004099413298711413,-0.012137773628806248,-0.002279920099334573,0.16990586804914512,0.01172783229893512,-0.01632752456268595,0.18168344017004695,-0.001919718591430128,-0.016737465892557105,0.015517529659828666,0.015517529659828666,0.018147763510182692,0.004609580020635863
1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0770164793635294,1e-06,0.0,0.3030931703675644,0.08765841486772269,0.5677304774812214,1.61971628672951,0.7469085105525449,4.485883198073699,0.7590633262324727,0.21172864849595482,0.06484208656873126,0.6272958696711914,0.17191299168924057,0.01518331197782525,0.029698785676666006,2.3277127457879687e-05,-0.011106317986298908,-0.00168130072881309,0.15982789486941165,0.011129595113756777,-0.016887889834096198,0.17193626881669843,-0.0026833566898009434,-0.016864612706638325,0.015517529659828664,0.015517529659828666,0.01761368885683715,0.0043413802911561215
1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0770164793635294,1e-06,0.0,0.3110700988600246,0.08777461432256715,0.5778572946512247,1.6371582293281008,0.7629669346205904,4.563934926632604,0.7608510778444099,0.2146710409496678,0.06484696408720683,0.653100911016165,0.17616721350990097,0.014857008548107977,0.029838764587046557,-0.00010943440761682077,-0.011390194391316416,-0.001905215231427948,0.1641318110900777,0.011280759983699526,-0.016652789371919097,0.17605777910228415,-0.002440988852318006,-0.016762223779535925,0.015517529659828666,0.015517529659828666,0.017803362167223332,0.0044556384913627825
1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0770164793635294,1e-06,0.0,0.312591192166245,0.08726344134744825,0.581161086588485,1.6475495953605286,0.7525420301684143,4.583099358606283,0.7638244828167764,0.2145054409719402,0.06482550739764063,0.6485403035584781,0.1771541205195702,0.014831349165693534,0.030131146896525664,-0.00023923692229058102,-0.011757814428570601,-0.0020102285734213965,0.16493933723971238,0.011518577506280017,-0.01660234081682431,0.1769148835972795,-0.0022279605024178653,-0.01684157773911491,0.015517529659828668,0.015517529659828666,0.01791636361666799,0.00447742599812984
1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0770164793635294,1e-06,0.0,0.3118781320359533,0.08749099287461362,0.5796533798773087,1.6428658770555902,0.7572599118404566,4.574378877488022,0.7624167997927914,0.21456193005058932,0.06483505896377646,0.6506015768383172,0.1766945928549859,0.014841801552888525,0.029996623072913453,-0.00017954185410367225,-0.011588942800225044,-0.0019624812140035947,0.16456340006085346,0.011409400946121348,-0.01662474091278845,0.17651505100088222,-0.0023251893538073845,-0.01680428276689213,0.015517529659828664,0.015517529659828666,0.01786543027878095,0.004467212421914642
1.0,1.0,1.0,1.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0770164793635294,1e-06,0.0,0.3119172238429139,0.08749691071970073,0.5796654487889513,1.6428021900281553,0.757242762904275,4.574380588485493,0.762518345814209,0.21459482886792478,0.06483530736768496,0.6506020475259162,0.1767147473944803,0.01484376628625843,0.030000235536272513,-0.00018117002810128654,-0.011593267387462247,-0.0019627709593772052,0.1645792495691022,0.011412097359360947,-0.01662536721753436,0.176533577366379,-0.0023238313691917936,-0.016806537245635633,0.015517529659828666,0.015517529659828666,0.01786473771089444,0.00446777235667028
1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0770164793635294,1e-06,0.0,0.3115900396193525,0.08756043224811634,0.5799640017012104,1.6446876373093489,0.7576743077501492,4.5528464496445205,0.7610283345347899,0.2141019364010255,0.06483797370918251,0.6511187222471625,0.17651037718224483,0.014838397859649393,0.02986350017140016,-0.00010784699110413798,-0.011377984726970684,-0.0019314057834942389,0.16453211811609222,0.011270137735866478,-0.016661956652039463,0.17640253019114063,-0.0024238331315721076,-0.016769803643143632,0.015517529659828664,0.015517529659828666,0.017885241105247515,0.0044630859061705035
