E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,B0,B4,B9,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12,flux_13,flux_14,flux_15,flux_16,flux_17,flux_18
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0265397103957109,1e-06,0.0,0.11757928288781029,0.029076936682696345,0.0545279922769088,0.009462293703907058,0.0038841515758414264,0.017385879775020246,0.003587258256579925,0.006569099707572437,0.11039152574477289,0.0324447252015274,-0.0033312563660238014,-0.0001614158778980676,-0.0008839275140848071,3.0027835951522213e-06,-0.000713827107400135,-0.0024473288519389945,-0.0031720424275403242,3.0027835951522484e-06,0.0005381445604498267,0.0003819334055615005,-8.386730796796244e-06,0.0016315654626934935,-0.0024473288519389945,0.000343283216230583,0.0004467582646133551,0.001362294680492124,0.0002853423867152873,0.0015379772274424326,0.0013622946804921238
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0265397103957109,1e-06,0.0,0.009617261958721623,0.11535900428185843,0.02874887348666126,0.016951667677885092,0.0039763046752849624,0.1146154883398566,0.03134579901339828,0.08156612919969468,0.006720505948518605,0.003664143707324155,-0.0027625209980694965,-0.00016691273568487073,-0.00024405076720179688,1.8397259941572343e-06,-0.0007299274654908967,-0.0025184702308677,-0.0026882358764825746,1.839725994157214e-06,0.0004716138729052616,0.0003991684773124955,-1.2521412269397316e-05,0.0016864527366155224,-0.0025184702308677,0.00034512012644195584,0.000452255122400158,0.0013161527794268363,0.0002853423867152873,0.0015744663720124712,0.0013161527794268366
1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0265397103957109,1e-06,0.0,0.009395979651790072,0.1082786100889017,0.029220843472200646,0.017576553516210434,0.0038445731228791444,0.11891311588282275,0.03293280624028612,0.0428663722511825,0.006504124009350111,0.003554446091352547,-0.0035773012638724154,-0.00015905505521637597,-0.00116054863870927,3.494552091212012e-06,-0.0007068978142222459,-0.002416752625163146,-0.0033809101035390835,3.494552091212039e-06,0.0005673804691054404,0.0003744838608633213,-6.607794445228379e-06,0.001607952577943721,-0.002416752625163146,0.0003425162998953652,0.00044439744193166327,0.0013827883107700944,0.0002853423867152873,0.0015223056558868993,0.0013827883107700941
1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0265397103957109,1e-06,0.0,0.009462293703906962,0.11039152574477176,0.029076936682696022,0.017385879775020065,0.0038841515758413886,0.10947812346879167,0.03244472520152712,0.05452799227690824,0.006569099707572368,0.0035872582565798896,-0.003331256366023801,-9.204134513717682e-05,-0.0008839275140848073,3.0027835951522145e-06,-0.0007138271074001347,-0.002447328851938994,-0.0031720424275403234,3.0027835951522484e-06,0.0005381445604498263,0.00038193340556150044,-8.386730796796244e-06,0.0016315654626934933,-0.0024473288519389937,0.000343283216230583,0.00037738373185246395,0.0013622946804921238,0.0002853423867152873,0.0015379772274424321,0.0013622946804921238
1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0265397103957109,1e-06,0.0,0.009462293703906824,0.11039152574477006,0.029076936682695547,0.017385879775019795,0.0038841515758413336,0.12390411435220827,0.03244472520152674,0.05452799227690739,0.006569099707572266,0.0035872582565798354,-0.0033312563660237993,-0.00021557877050869592,-0.0008839275140848069,3.002783595152228e-06,-0.0007138271074001347,-0.0024473288519389937,-0.0031720424275403225,3.002783595152194e-06,0.0005381445604498267,0.0003819334055615003,-8.386730796796325e-06,0.0016315654626934924,-0.0024473288519389937,0.0003432832162305828,0.0005009211572239831,0.0013622946804921236,0.0002853423867152873,0.0015379772274424317,0.0013622946804921238
1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0265397103957109,1e-06,0.0,0.009662752174301922,0.11378058988097778,0.029204063363631433,0.017300071554975236,0.003991012860061566,0.11654519236540524,0.032074947605757104,0.0510196528131249,0.0067574801224080825,0.0036742992526370673,-0.003055108962348105,-0.0001677900670009615,-0.0005271671576458576,2.3281049855303082e-06,-0.0007329213882369651,-0.0025279418047022472,-0.0029503415475328407,2.328104985530315e-06,0.0004993995263775034,0.00039696021654776715,-9.007046521002657e-06,0.0016895799821535825,-0.0025279418047022477,0.0003472963231957312,0.0004531324537162492,0.0013467683954471708,0.0002853423867152873,0.0015802902573066333,0.0013467683954471706
1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0265397103957109,1e-06,0.0,0.009317484717470535,0.10794114275782934,0.028982376952423023,0.017447022590884816,0.00380710406345056,0.11837266498067096,0.03271653361451751,0.05705917226254663,0.006433236197592513,0.0035246952750310513,-0.0035305357017251446,-0.00015682005615159407,-0.0011413040163924997,3.4691433354140303e-06,-0.0007000444263177899,-0.0023892316853326464,-0.00333187513223027,3.469143335414071e-06,0.0005662825205743046,0.00037109109441484073,-7.9421016128972e-06,0.0015897488888137368,-0.0023892316853326464,0.00034036457685126034,0.00044216244286688147,0.0013737074187061113,0.0002853423867152873,0.0015074693244495972,0.0013737074187061113
1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0265397103957109,1e-06,0.0,0.009453986579484371,0.11040923560567201,0.029082371021890378,0.017389679395632164,0.0038837465415504538,0.11755078241201918,0.03244808430083256,0.05453717601993876,0.006570148749714913,0.003604821564867642,-0.0033317652680573454,-0.00016139171793047563,-0.000884057268686829,1.6156331555071605e-06,-0.0007137660196761284,-0.0024477079993705173,-0.0031730717051209776,1.6156331555071944e-06,0.0005383848934344209,0.00038130696365356036,-8.508623078079454e-06,0.0016321657929537455,-0.0024477079993705173,0.00034258331225615456,0.00044673410464576293,0.0013624357229292724,0.0002853423867152873,0.0015378168491709796,0.0013624357229292724
1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0265397103957109,1e-06,0.0,0.009469503980908475,0.11037615185174984,0.029072219392393687,0.01738258155566667,0.0038845030714014326,0.11760402879596372,0.03244180899727921,0.05452001997911351,0.006568189036351547,0.0035720145190909916,-0.0033308145831049737,-0.00016143684432359231,-0.0008838148718927305,4.2067411440522205e-06,-0.0007138801235095409,-0.0024469997112122432,-0.003171149028844189,4.206741144052251e-06,0.000537935951518334,0.0003824771384016033,-8.280988618814846e-06,0.0016310444169414311,-0.0024469997112122432,0.0003438907148708045,0.0004467792310388799,0.0013621722344079618,0.0002853423867152873,0.0015381164063991678,0.0013621722344079618
1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0.0265397103957109,1e-06,0.0,-4.1670437611375075e-15,-2.112035080618726e-14,-6.94048226953378e-15,-3.77260186153006e-15,-2.1373833242027955e-15,290.4615954021208,-1.61172392463618e-14,-1.0822053406857663e-14,-1.3383231821131969e-15,-1.5994046951822875e-15,-0.00017872379215635106,3.682646974598483e-05,-4.428290648109706e-05,-1.7042597771927268e-07,-5.3025035938869795e-05,-0.000134440885675254,-0.00022896608773365226,-1.7042597771927813e-07,8.365345589576628e-06,5.843721518915855e-05,-2.9816064882044945e-05,-4.726379526120363e-06,-0.00013444088567525402,2.4233459654036902e-05,0.0002485159169693024,0.0001773486756729959,0.0002853423867152873,0.0002220083660222891,0.00017734867567299593
