E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,B0,B8,B9,S9,S1,S4,S0,S3,S8,S5,S7,S6,S2,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.7813989697998,13.64706,6.7969247064,0.23261852166276475,0.05432181094253472,0.022575537516507434,0.2640816546124287,0.00267783073638134,0.019743578496205217,0.025212777992904976,7.038349957241143,0.8491984970193465,0.079056479696207,-0.0044708851030493876,0.0034896068070236815,0.0034896068070236815,0.0034896068070236815,-0.000981278296025706,-0.1281725212596193,-0.1281725212596193,-0.00098127829602572,-0.0009812782960265665,-0.12817252125962142,0.131662128066643,-0.0009812782960256783,0.13515173487366683
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.7813989697998,13.64706,6.7969247064,0.23261835421735355,0.055030303191889625,0.2640830289148459,0.02648843103707451,7.038367567421827,0.019774930663596223,0.07908415400857811,0.002686189306350261,0.8492006387875926,0.025319729237956376,-0.0029623668606233106,0.0034882481237366704,0.0034882481237366704,0.0034882481237366704,0.0005258812631133616,-0.12817327791087166,-0.12817327791087163,0.0005258812631133564,0.0005258812631128151,-0.12817327791086797,0.13166152603460826,0.0005258812631132592,0.13514977415834473
1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.7813989697998,13.64706,6.7969247064,0.23261862362230365,0.05388755300299045,0.2640808177830419,0.020177198707410873,7.038339234188836,0.019724361740265425,0.07903951698755923,0.0026727415826620785,0.8491971928707208,0.025147198133183633,-0.005395499190599831,0.003490434125732986,0.003490434125732986,0.0034904341257329854,-0.0019050650648668437,-0.12817206052550756,-0.12817206052550753,-0.0019050650648668593,-0.001905065064866207,-0.128172060525511,0.13166249465124052,-0.0019050650648667622,0.13515292877697327
1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.7813989697998,13.64706,6.7969247064,0.23241751599293692,0.05388138330500024,0.26573140169095044,0.02040468537631512,7.059489659660988,0.01972618448348223,0.0789727662511915,0.0014310691588480303,0.8517695293211515,0.017414093892202026,-0.0036760515834421683,0.0018586093240039916,0.0018586093240039916,0.0018586093240039912,-0.0018174422594381782,-0.12908082439383514,-0.1290808243938351,-0.0018174422594381678,-0.001817442259437918,-0.1290808243938386,0.13093943371783906,-0.00181744225943814,0.13279804304184317
1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.7813989697998,13.64706,6.7969247064,0.23279626801869213,0.05470887926783927,0.2626228075477646,0.024481961687173554,7.019656429472817,0.01975885377252,0.07913041251197256,0.003782891178376375,0.8469249709889165,0.0321087574168701,-0.0051788399857410836,0.004931873880295201,0.004931873880295202,0.004931873880295201,-0.00024696610544588243,-0.12736932216417787,-0.12736932216417785,-0.0002469661054458755,-0.0002469661054460559,-0.1273693221641814,0.13230119604447307,-0.00024696610544583386,0.13723306992476836
1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.7813989697998,13.64706,6.7969247064,0.23257677085038825,0.05423056825579351,0.26442432296005813,0.02212594705500145,7.042740876911131,0.019739976140216622,0.07903910093758341,0.004788972652054678,0.8497325251755599,0.023592944359635732,-0.004305283473501338,0.003150832930851789,0.00315083293085179,0.0031508329308517894,-0.0011544505426495481,-0.12836118456334664,-0.1283611845633466,-0.0011544505426495655,-0.0011544505426490659,-0.1283611845633459,0.13151201749419839,-0.001154450542649621,0.13466285042505
1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.7813989697998,13.64706,6.7969247064,0.2326345072179691,0.054356713111311065,0.2639504537213315,0.02274749539585392,7.036668761480217,0.019744956313462222,0.07906313239170729,0.0018695158745424697,0.8489940282656641,0.025832976187387557,-0.004534360527843704,0.00361931658250096,0.0036193165825009607,0.00361931658250096,-0.0009150439453427424,-0.12810028583508248,-0.12810028583508248,-0.0009150439453427389,-0.0009150439453424752,-0.1281002858350817,0.13171960241758346,-0.0009150439453428083,0.13533891900008443
1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.7813989697998,13.64706,6.7969247064,0.2326179155660109,0.05432048725982893,0.26408662913055947,0.022569015712628718,7.038413700244139,0.019743526240071533,0.07905622744342952,0.002708478211373896,0.8492062495087835,0.04168493209259496,-0.00446847917478586,0.0034846888249547106,0.003484688824954711,0.0034846888249547114,-0.0009837903498311467,-0.12817526008575109,-0.12817526008575103,-0.0009837903498311484,-0.0009837903498306488,-0.1281752600857473,0.13165994891070576,-0.000983790349831204,0.1351446377356602
1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.7813989697998,13.64706,6.7969247064,0.23261872415332627,0.054322253165207515,0.26407999267815285,0.022577716350560103,7.038328661373134,0.019743595954173233,0.07905656397098354,0.002667591736667118,0.8491959069940253,0.01971172496977547,-0.00447168891080207,0.003491249853194939,0.003491249853194939,0.0034912498531949393,-0.0009804390576071305,-0.12817160624656593,-0.12817160624656593,-0.0009804390576071131,-0.000980439057607363,-0.12817160624656765,0.13166285609976086,-0.000980439057607141,0.13515410595295574
1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.7813989697998,13.64706,6.7969247064,0.23261855941136772,0.05446500402866477,0.2640813447920763,0.021627313378171423,7.0383459872325655,0.019749914324209014,0.07906209661662639,0.0026759000784067396,0.849198014182829,0.025237146411659805,-0.004166615848610436,0.0034899131062264685,0.0034899131062264685,0.0034899131062264685,-0.0006767027423839654,-0.1281723506814739,-0.12817235068147387,-0.0006767027423839611,-0.0006767027423837391,-0.12817235068147426,0.13166226378770035,-0.0006767027423839611,0.13515217689392678
