E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,B7,B0,B4,S8,S3,S5,S6,S1,S9,S4,S7,S2,S0,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11,flux_12
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.48249607699173,3.47193896232414,1.04365857278033,0.3919750575630891,1.7358368471607284,0.6070961640384696,0.6940966403782681,0.018903893268580312,0.055639326243690196,2.1563964919427847,5.928465579333065,0.006761877098686281,0.14863162256421586,-0.004044256067952903,-0.004044256067952889,-5.342014728218793e-17,0.3233533537051191,-0.00404425606795294,-0.009802928978486669,0.32739760977307203,0.327397609773072,-0.009802928978486579,-0.009802928978486565,0.0,-0.009802928978486572,0.3233533537051192
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.48249607699173,3.47193896232414,1.04365857278033,0.6070961640384696,0.06029392266480707,0.018903893268580316,0.7559673789835983,0.14863162256421586,0.39197505756308904,2.191484153700416,5.928465579333065,1.5297599696227762,0.007346172258300794,-0.0027389263146039428,-0.0027389263146039497,-2.6628942442188723e-17,0.3520333809778226,-0.002738926314603967,-0.009802928978486669,0.35477230729242654,0.3547723072924266,-0.009802928978486565,-0.009802928978486572,0.0,-0.009802928978486572,0.35203338097782266
1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.48249607699173,3.47193896232414,1.04365857278033,0.6070961640384701,0.053138561149810554,0.018903893268580312,0.6608827103692383,0.1486316225642159,0.3919750575630891,2.137544893786151,5.928465579333065,1.8624134617319537,0.006448087332475472,-0.004745567801097042,-0.004745567801097042,-2.6754039022616533e-17,0.3079443944817513,-0.004745567801097061,-0.009802928978486669,0.31268996228284834,0.31268996228284834,-0.009802928978486565,-0.009802928978486572,0.0,-0.009802928978486572,0.3079443944817515
1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.48249607699173,3.47193896232414,1.04365857278033,0.6070961640384696,0.05769475637813746,0.018903893268580316,0.7214101018630434,0.14863162256421583,0.39197505756308904,2.1718909418219794,5.928465579333065,1.8186965249590457,0.007019857081992364,-0.0034678335669060204,-0.003467833566906015,-2.6674135128687476e-17,0.33601823996002095,-0.003467833566906029,-0.009802928978486669,0.3394860735269269,0.3394860735269269,-0.009802928978486579,-0.009802928978486565,0.0,-0.009802928978486572,0.3360182399600209
1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.48249607699173,3.47193896232414,1.04365857278033,0.6070961640384696,0.054770274051573135,0.018903893268580316,0.6825521593876385,0.14863162256421586,0.39197505756308904,2.1498452976776194,5.928465579333065,1.7008031170319753,0.006652820037699677,-0.004287972081319175,-0.004287972081319178,0.0,0.3179985246631747,-0.004287972081319178,-0.009802928978486669,0.32228649674449383,0.3222864967444938,-0.009802928978486565,-0.009802928978486572,0.0,-0.009802928978486572,0.3179985246631747
1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.48249607699173,3.47193896232414,1.04365857278033,0.6070961640384688,0.05563932624291474,0.018903893268580316,0.6940966403678147,0.14863162256421583,0.3919750575629716,2.1563964919369467,5.928465579333065,1.7358368471111039,0.006761877098588229,-0.0040442560679529276,-0.004044256067952924,4.0065110461640936e-17,0.3233533537051203,-0.004044256067952896,-0.009802928978486669,0.3273976097730732,0.3273976097730732,-0.009802928978486579,-0.009802928978486565,0.0,-0.009802928978486572,0.3233533537051201
1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.48249607699173,3.47193896232414,1.04365857278033,0.6070961640384694,0.05563932624369017,0.01890389326858032,0.6940966403782677,0.14863162256421586,0.3919750575630891,2.156396491942784,5.928465579333064,1.735836847160729,0.006761877098686278,-0.004044256067952917,-0.004044256067952917,0.0,0.3233533537051198,-0.004044256067952914,-0.009802928978486669,0.32739760977307275,0.3273976097730726,-0.009802928978486565,-0.009802928978486572,0.0,-0.009802928978486572,0.32335335370511986
1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.48249607699173,3.47193896232414,1.04365857278033,0.6070961640384696,0.0439098893774163,0.018903893268580316,1.0505042051585802,0.14863162256421586,0.3919750575630891,2.065625908171533,5.928465579333065,1.2629930646322227,0.007796495545114627,-0.007333646070083652,-0.007333646070083653,0.0,0.24915910171702788,-0.00733364607008365,-0.009802928978486669,0.25649274778711156,0.2564927477871116,-0.009802928978486565,-0.009802928978486572,0.0,-0.009802928978486572,0.24915910171702804
1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.48249607699173,3.47193896232414,1.04365857278033,0.6070961640384694,0.06365470362910063,0.018903893268580312,0.5446977593605233,0.14863162256421586,0.3919750575630891,2.2179930601585216,5.928465579333065,2.0589573349147923,0.006515606076530683,-0.001796432703927273,-0.0017964327039272782,-5.3141843406950634e-17,0.3737012870765413,-0.0017964327039273233,-0.009802928978486669,0.37549771978046875,0.3754977197804688,-0.009802928978486565,-0.009802928978486572,0.0,-0.009802928978486572,0.37370128707654127
1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.48249607699173,3.47193896232414,1.04365857278033,0.6070961640384699,0.0491410643018253,0.018903893268580312,0.6138930452824947,0.1486316225642159,0.39197505756294343,2.11097109530432,5.928465579333065,1.8955332148140929,0.005976356850492506,-0.0029333106465578487,-0.0029333106465578504,-2.6824872069196513e-17,0.2862234468159991,-0.0029333106465578825,-0.009802928978486669,0.28915675746255703,0.289156757462557,-0.009802928978486565,-0.009802928978486572,0.0,-0.009802928978486572,0.286223446815999
