E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,B1,B3,B6,S5,S1,S8,S4,S2,S3,S0,S7,S9,S6,flux_0,flux_1,flux_2,flux_3,flux_4,flux_5,flux_6,flux_7,flux_8,flux_9,flux_10,flux_11
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.59265325551011,3.40395953893703,0.656605587386049,0.0043765985695739034,9.643835647956347,0.0037835548664957954,0.003140884329966266,0.021912956021805586,2.31591152999079,7.809292280353358,2.7441956891191097,0.028579688181631903,5.40440463968471,-0.20020199960045168,-0.2002019996004517,2.1479796784141523,1.9477776788137002,2.1479796784141523,-1.947777678813701,1.9477776788137002,-0.20020199960045168,-0.20020199960045168,0.0,-0.4004039992009033,-1.9477776788137011
0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.59265325551011,3.40395953893703,0.656605587386049,7.809292280137673,9.643835647956347,2.315931626953509,0.021912946305108146,5.404404639678957,0.02857968817511983,0.007408738880463865,0.00437654215303466,0.0031516056210496093,2.744194609659845,-0.20020104125039814,-0.20020104125039817,2.1479787200647182,1.94777767881432,2.1479787200647182,-1.9477776788143197,1.9477776788143202,-0.20020104125039814,-0.20020104125039814,0.0,-0.40040208250079623,-1.9477776788143197
1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.59265325551011,3.40395953893703,0.656605587386049,7.8092922804252565,9.643835647956347,2.3159048308664656,0.02191295926077085,5.404404639686627,0.028579688183802642,0.0025751494542705913,0.004376617375688582,0.003137310493318049,2.7441960489462107,-0.2002023190569907,-0.20020231905699065,2.1479799978704857,1.9477776788134944,2.147979997870485,-1.9477776788134946,1.9477776788134944,-0.2002023190569907,-0.2002023190569907,0.0,-0.4004046381139814,-1.9477776788134946
1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.59265325551011,3.40395953893703,0.656605587386049,7.809292280345185,9.643835647956347,2.3159122916700223,0.02191295565354065,5.4044046396844925,0.0285796881813851,0.003920949001705186,0.008174736349420883,0.0031412906692163374,2.7441956482073713,-0.2002019632787722,-0.20020196327877224,2.147979642092497,1.9477776788137244,2.147979642092497,-1.9477776788137242,1.9477776788137244,-0.20020196327877218,-0.2002019632787722,0.0,-0.40040392655754437,-1.9477776788137242
1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.59265325551011,3.40395953893703,0.656605587386049,7.809292280356083,9.643835647956347,2.3159112760973923,0.02191295614456072,5.404404639684783,0.028579688181714177,0.003737756790262519,0.0031105517814641387,0.0031407488833786537,2.744195702756374,-0.20020201170769172,-0.20020201170769175,2.147979690521385,1.9477776788136933,2.147979690521385,-1.9477776788136933,1.947777678813693,-0.20020201170769175,-0.20020201170769172,0.0,-0.4004040234153834,-1.9477776788136931
1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.59265325551011,3.40395953893703,0.656605587386049,7.809753645168391,9.643835647956347,2.3159116400206594,0.042697446278215895,5.404416944255195,0.028593617838656014,0.0038034023976386646,0.004925265787107274,0.003140943028500487,2.744213380735461,-0.20020199435353292,-0.20020199435353292,2.147978349748124,1.947776355394591,2.147978349748124,-1.9477763553945913,1.9477763553945913,-0.20020199435353292,-0.20020199435353292,0.0,-0.4004039887070658,-1.9477763553945915
1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.59265325551011,3.40395953893703,0.656605587386049,7.809138479840913,9.643835647956347,2.3159114933112432,0.014984241156077223,5.4044005378347535,0.028575044593047022,0.0037769384957745244,0.004193694928426801,0.003140864762228349,2.744189791444273,-0.200202001349564,-0.20020200134956406,2.1479801213380805,1.9477781199885162,2.1479801213380805,-1.9477781199885162,1.947778119988516,-0.20020200134956403,-0.20020200134956403,0.0,-0.400404002699128,-1.9477781199885167
1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.59265325551011,3.40395953893703,0.656605587386049,14.517368587102027,9.643835647956347,2.315911476158987,0.011744204167312833,5.583308611236089,0.028290671125875556,0.0037738445184956177,0.004108164698368919,0.0031408556118738004,3.001511275975127,-0.2002020021674919,-0.20020200216749193,2.128737649333426,1.928535647165934,2.128737649333426,-1.9285356471659345,1.9285356471659338,-0.20020200216749193,-0.2002020021674919,0.0,-0.40040400433498374,-1.9285356471659343
1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.59265325551011,3.40395953893703,0.656605587386049,5.543544711129835,9.643835647956347,2.315911577606775,0.030907549213673093,5.343977295073383,0.02868103922027641,0.0037921439861278747,0.0046140370870234124,0.003140909732054947,2.6572837117671453,-0.20020199732982097,-0.2002019973298209,2.154478944255453,1.9542769469256318,2.1544789442554526,-1.9542769469256316,1.9542769469256318,-0.20020199732982097,-0.20020199732982097,0.0,-0.40040399465964194,-1.9542769469256316
1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.59265325551011,3.40395953893703,0.656605587386049,7.8093143136721075,9.643835647956347,2.3159115352454673,0.022905557286325203,5.404405227311929,0.02858035341782515,0.003784502721610751,0.004402801175066955,0.003140887133222148,5.163603427344615,-0.20020199934987548,-0.2002019993498755,2.147979614961282,1.9477776156114066,2.147979614961282,-1.947777615611406,1.9477776156114066,-0.20020199934987548,-0.20020199934987548,0.0,-0.40040399869975096,-1.9477776156114062
1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.59265325551011,3.40395953893703,0.656605587386049,7.809284935885861,9.643835647956347,2.315911528239224,0.021582087675987623,5.404404443808225,0.0285794664353913,0.0037832389135889037,0.004367864334517266,0.0031408833955440855,1.9377264112779404,-0.20020199968397742,-0.20020199968397737,2.14797969956519,1.9477776998812129,2.14797969956519,-1.9477776998812129,1.9477776998812126,-0.2002019996839774,-0.20020199968397742,0.0,-0.4004039993679549,-1.9477776998812126
1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,3.59265325551011,3.40395953893703,0.656605587386049,6.409205164469476,9.643835647956347,2.3159115323367243,0.02235609975975308,8.651404516936571,0.023458360528792042,0.003783978033455395,0.00438829664106725,0.0031408855814711125,2.2926044090547766,-0.20020199948858272,-0.20020199948858272,1.7987483344892625,1.5985463350006799,1.7987483344892627,-1.59854633500068,1.59854633500068,-0.20020199948858272,-0.20020199948858272,0.0,-0.4004039989771654,-1.5985463350006803
1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,3.59265325551011,3.40395953893703,0.656605587386049,8.422610539990266,9.643835647956347,2.3159115292087815,0.021765235752771617,3.982035339746561,0.030823150029553274,0.003783413805409177,0.004372699062207481,0.0031408839127819144,2.942018213854895,-0.2002019996377428,-0.2002019996377428,2.3009627276643068,2.100760728026565,2.300962727664307,-2.100760728026565,2.1007607280265645,-0.20020199963774277,-0.2002019996377428,0.0,-0.40040399927548553,-2.1007607280265654
1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,3.59265325551011,3.40395953893703,0.656605587386049,8.752712660042437,9.643835647956347,2.3159115174336304,0.01954092622330226,5.42956560164322,0.0570637031964109,0.003781289767029356,0.004313981924070602,0.003140877630995352,2.7803844203361336,-0.20020200019925635,-0.2002020001992563,2.145273489641667,1.945071489442411,2.1452734896416676,-1.945071489442411,1.9450714894424115,-0.2002020001992563,-0.20020200019925632,0.0,-0.40040400039851265,-1.945071489442411
1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,3.59265325551011,3.40395953893703,0.656605587386049,7.494238132013934,9.643835647956347,2.3159115348885697,0.0228381126650241,5.396002165441095,0.01906748420027824,0.003784438317375449,0.004401020777684933,0.0031408869428249486,2.7321105040052256,-0.20020199936690153,-0.20020199936690147,2.1488834070017853,1.9486814076348842,2.1488834070017857,-1.9486814076348842,1.9486814076348846,-0.20020199936690147,-0.20020199936690147,0.0,-0.40040399873380295,-1.9486814076348846
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,3.59265325551011,3.40395953893703,0.656605587386049,7.809292217883092,9.643835647956347,2.3217322944974357,0.021910141735449494,5.404404638018632,0.02857968629551186,0.0037759785035077656,0.004360299243877162,0.006246135181866813,2.743883040970912,-0.19992442880257158,-0.1999244288025716,2.147702107795467,1.9477776789928958,2.147702107795467,-1.9477776789928962,1.9477776789928956,-0.19992442880257158,-0.1999244288025716,0.0,-0.3998488576051432,-1.947777678992896
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,3.59265325551011,3.40395953893703,0.656605587386049,7.809292301285166,9.643835647956347,2.313961176303607,0.021913898999949864,5.4044046402429595,0.02857968881361094,0.0037860999590670604,0.004382078298293139,0.00210041319568223,2.744300447603659,-0.2002950047767445,-0.20029500477674445,2.148072683530402,1.9477776787536576,2.1480726835304025,-1.9477776787536583,1.9477776787536578,-0.2002950047767445,-0.2002950047767445,0.0,-0.40059000955348895,-1.9477776787536583
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,3.59265325551011,3.40395953893703,0.656605587386049,7.809269774786012,9.643835647956347,4.412896745211016,0.02089907995231061,5.40440403946265,0.028579008687175278,0.0018617948000945854,0.0012872041373351649,0.0008249787951028454,2.6315612501887125,-0.1002045063730899,-0.10020450637308989,2.047982249743725,1.9477777433706345,2.0479822497437246,-1.9477777433706347,1.947777743370635,-0.10020450637308989,-0.1002045063730899,0.0,-0.20040901274617984,-1.947777743370635
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,3.59265325551011,3.40395953893703,0.656605587386049,7.809313844461005,9.643835647956347,0.30663669666899307,0.022884419320811842,5.404405214798098,0.02858033925127084,0.00703111007682033,0.04697732085931849,0.0351072360764887,2.852118979114559,-0.2960169081075219,-0.2960169081075219,2.243794525064854,1.9477776169573322,2.243794525064854,-1.9477776169573322,1.9477776169573322,-0.2960169081075219,-0.2960169081075219,0.0,-0.5920338162150438,-1.9477776169573322
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,3.59265325551011,3.40395953893703,0.656605587386049,7.80929228035336,9.643835647956347,2.3159115299907906,0.021912956021805582,5.404404639684709,0.028579688181631906,0.003783554866495795,0.004376598569573901,0.0031408843299662653,2.74419568911911,-0.20020199960045168,-0.2002019996004517,2.1479796784141527,1.9477776788137011,2.1479796784141527,-1.9477776788137013,1.9477776788137011,-0.2002019996004517,-0.20020199960045168,0.0,-0.4004039992009034,-1.947777678813701
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,3.59265325551011,3.40395953893703,0.656605587386049,7.809292280353359,9.643835647956347,2.31591152999079,0.021912956021805586,5.404404639684709,0.028579688181631906,0.0037835548664957946,0.004376598569573902,0.0031408843299662653,2.7441956891191106,-0.20020199960045168,-0.20020199960045165,2.1479796784141527,1.9477776788137011,2.1479796784141527,-1.9477776788137013,1.9477776788137011,-0.20020199960045165,-0.20020199960045168,0.0,-0.4004039992009033,-1.947777678813701
