ENZYME_ADH,ENZYME_AK,ENZYME_ATPase,ENZYME_ENO,ENZYME_FBA,ENZYME_GPD,ENZYME_GPM,ENZYME_GPP,ENZYME_HXK_GLK1,ENZYME_HXK_HXK1,ENZYME_HXK_HXK2,ENZYME_PDC_PDC1,ENZYME_PDC_PDC5,ENZYME_PDC_PDC6,ENZYME_PFK,ENZYME_PGI,ENZYME_PGK,ENZYME_PGM,ENZYME_PYK,ENZYME_TDH_TDH1,ENZYME_TDH_TDH2,ENZYME_TDH_TDH3,ENZYME_TPI,ENZYME_TPP,ENZYME_TPS,ENZYME_UGP,ENZYME_acetate_branch,ENZYME_succinate_branch,ENZYME_udp_to_utp,ENZYME_HXT,ACE,EtOH,F26bP,GLCx,GLY,SUC,TRH,ADH1,ADH5,CDC19,ENO1,ENO2,FBA1,GLK1,GPD1,GPD2,GPM1,HOR2,HXK1,HXK2,PDC1,PDC5,PDC6,PFK1,PFK2,PGI1,PGK1,PGM1,PGM2,PYK2,RHR2,TDH1,TDH2,TDH3,TPI1,TPS1,TPS2,UGP1,ADP,ATP,AcAld,BPG,DHAP,F16bP,F6P,G1P,G3P,G6P,GAP,GLC,NAD,P2G,P3G,PEP,PYR,T6P,UDP,UTP,EX_ADH,EX_AK,ATPase,ENO,FBA,EX_GPD,GPM,EX_GPP,HXK_GLK1,HXK_HXK1,HXK_HXK2,PDC_PDC1,PDC_PDC5,PDC_PDC6,PFK,PGI,PGK,PGM,PYK,EX_TDH_TDH1,EX_TDH_TDH2,EX_TDH_TDH3,TPI,EX_TPP,EX_TPS,EX_UGP,EX_acetate_branch,EX_succinate_branch,udp_to_utp,EX_HXT
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.75006335,55.47257785,0.003,74,0.15,0,0.003846971,0.040977128,0.001062496,0.512097527,0.171592989,0.493611573,0.334598664,0.011271741,0.001708778,0.000198351,0.182500075,0.001368367,0.004195186,0.015332838,0.266952695,0.003088686,0.001635216,0.011696257,0.009759155,0.034572677,0.064414228,0.000815574,0.000314672,0.001517484,0.012795119,0.087716161,0,1.051101187,0.073589455,0.00084812,0.000664963,0.001628055,1.144234804,2.415212718,0.537517849,0.025471395,0.031412829,0.698108717,2.422255457,4.955245011,0.014163787,5.27E-05,0.386343323,0.006505293,0.141680982,0.260823805,0.061308027,0.012515943,0.10085183,0.15557426,0.70479454,2.592114621,0.733513901,1.33E-15,0.525334351,0.748910102,0.405085888,0.061261674,0.748910102,0.061261674,0.000167611,0.018030401,0.49509726,0.718721454,0.008125437,0.006828575,0.405085888,0.405085888,0.748910102,0.054104692,0.748910102,0.052547695,0,0.696362407,0.343824214,0.054104692,0.054104692,0.054104692,0.000161564,0.015234637,0.054104692,0.513295273
0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.75006335,55.47257785,0.003,74,0.15,0,0.003846971,0.040977128,0.001062496,0.512097527,0.171592989,0.493611573,0.334598664,0.011271741,0.001708778,0.000198351,0.182500075,0.001368367,0.004195186,0.015332838,0.266952695,0.003088686,0.001635216,0.011696257,0.009759155,0.034572677,0.064414228,0.000815574,0.000314672,0.001517484,0.012795119,0.087716161,0,1.051101187,0.073589455,0.00084812,0.000664963,0.001550529,1.144254172,2.415412098,0.537387939,0.026307688,0.03140639,0.697965623,2.42185293,4.955987346,0.014161048,5.26E-05,0.386323929,0.006503956,0.141646683,0.260830756,0.061298062,0.012512718,0.100832967,0.155578809,0.704531347,2.591512847,0.733414016,6.66E-16,0.525268916,0.74881325,0.405038221,0.061263193,0.74881325,0.061263193,0.00016757,0.018027356,0.495030722,0.718628502,0.008124431,0.006827954,0.405038221,0.405038221,0.74881325,0.054093713,0.74881325,0.052540905,0,0.696272344,0.343775028,0.054093713,0.054093713,0.054093713,0.000166871,0.015232363,0.054093713,0.513225648
1.05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.75006335,55.47257785,0.003,74,0.15,0,0.003846971,0.040977128,0.001062496,0.512097527,0.171592989,0.493611573,0.334598664,0.011271741,0.001708778,0.000198351,0.182500075,0.001368367,0.004195186,0.015332838,0.266952695,0.003088686,0.001635216,0.011696257,0.009759155,0.034572677,0.064414228,0.000815574,0.000314672,0.001517484,0.012795119,0.087716161,0,1.051101187,0.073589455,0.00084812,0.000664963,0.001550529,1.144217309,2.415032482,0.537635241,0.024715813,0.031418647,0.698238015,2.422619127,4.954574505,0.014166262,5.27E-05,0.386360846,0.006506502,0.141711976,0.260817525,0.06131703,0.012518858,0.100868873,0.155570153,0.705032405,2.59265833,0.733604139,-2.00E-15,0.525393459,0.748997598,0.40512895,0.061260301,0.748997598,0.061260301,0.000167648,0.018033153,0.495157375,0.718805427,0.008126346,0.006829135,0.40512895,0.40512895,0.748997598,0.054114613,0.748997598,0.052553829,0,0.69644377,0.343868649,0.054114613,0.054114613,0.054114613,0.000156769,0.015236691,0.054114613,0.513358175
1,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.75006335,55.47257785,0.003,74,0.15,0,0.003846971,0.040977128,0.001062496,0.512097527,0.171592989,0.493611573,0.334598664,0.011271741,0.001708778,0.000198351,0.182500075,0.001368367,0.004195186,0.015332838,0.266952695,0.003088686,0.001635216,0.011696257,0.009759155,0.034572677,0.064414228,0.000815574,0.000314672,0.001517484,0.012795119,0.087716161,0,1.051101187,0.073589455,0.00084812,0.000664963,0.001550529,1.144234804,2.415212718,0.537517849,0.025471395,0.031412829,0.698108717,2.422255457,4.955245011,0.014163787,5.27E-05,0.386343323,0.006505293,0.141680982,0.260823805,0.061308027,0.012515943,0.10085183,0.15557426,0.70479454,2.592114621,0.733513901,0,0.525334351,0.748910102,0.405085888,0.061261674,0.748910102,0.061261674,0.000167611,0.018030401,0.49509726,0.718721454,0.008125437,0.006828575,0.405085888,0.405085888,0.748910102,0.054104692,0.748910102,0.052547695,0,0.696362407,0.343824214,0.054104692,0.054104692,0.054104692,0.000161564,0.015234637,0.054104692,0.513295273
1,1.05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.75006335,55.47257785,0.003,74,0.15,0,0.003846971,0.040977128,0.001062496,0.512097527,0.171592989,0.493611573,0.334598664,0.011271741,0.001708778,0.000198351,0.182500075,0.001368367,0.004195186,0.015332838,0.266952695,0.003088686,0.001635216,0.011696257,0.009759155,0.034572677,0.064414228,0.000815574,0.000314672,0.001517484,0.012795119,0.087716161,0,1.051101187,0.073589455,0.00084812,0.000664963,0.001550529,1.144234804,2.415212718,0.537517849,0.025471395,0.031412829,0.698108717,2.422255457,4.955245011,0.014163787,5.27E-05,0.386343323,0.006505293,0.141680982,0.260823805,0.061308027,0.012515943,0.10085183,0.15557426,0.70479454,2.592114621,0.733513901,-1.40E-15,0.525334351,0.748910102,0.405085888,0.061261674,0.748910102,0.061261674,0.000167611,0.018030401,0.49509726,0.718721454,0.008125437,0.006828575,0.405085888,0.405085888,0.748910102,0.054104692,0.748910102,0.052547695,0,0.696362407,0.343824214,0.054104692,0.054104692,0.054104692,0.000161564,0.015234637,0.054104692,0.513295273
1,1,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.75006335,55.47257785,0.003,74,0.15,0,0.003846971,0.040977128,0.001062496,0.512097527,0.171592989,0.493611573,0.334598664,0.011271741,0.001708778,0.000198351,0.182500075,0.001368367,0.004195186,0.015332838,0.266952695,0.003088686,0.001635216,0.011696257,0.009759155,0.034572677,0.064414228,0.000815574,0.000314672,0.001517484,0.012795119,0.087716161,0,1.051101187,0.073589455,0.00084812,0.000664963,0.001550529,1.058654444,2.210274812,0.69877211,0.023725661,0.040560287,0.901389557,2.689858051,4.402121539,0.016095774,7.35E-05,0.404615551,0.008063493,0.185032403,0.268278782,0.072514564,0.015195161,0.113982452,0.160712513,1.082290896,3.100734606,0.794894426,-1.33E-15,0.547222229,0.810686048,0.436787034,0.06288802,0.810686048,0.06288802,0.00020472,0.020619512,0.549680002,0.779036454,0.008775959,0.007221248,0.436787034,0.436787034,0.810686048,0.0668586,0.810686048,0.056927262,0,0.753758787,0.373899014,0.0668586,0.0668586,0.0668586,0.000139235,0.015652387,0.0668586,0.570504233
1,1,1.05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.75006335,55.47257785,0.003,74,0.15,0,0.003846971,0.040977128,0.001062496,0.512097527,0.171592989,0.493611573,0.334598664,0.011271741,0.001708778,0.000198351,0.182500075,0.001368367,0.004195186,0.015332838,0.266952695,0.003088686,0.001635216,0.011696257,0.009759155,0.034572677,0.064414228,0.000815574,0.000314672,0.001517484,0.012795119,0.087716161,0,1.051101187,0.073589455,0.00084812,0.000664963,0.001550529,1.240148924,2.539588249,0.411735241,0.028930904,0.024047064,0.534420464,2.12847329,5.660755151,0.012230382,3.76E-05,0.369649651,0.005174801,0.108018131,0.247932018,0.050726552,0.010297193,0.087492535,0.153507869,0.462637224,2.095223727,0.662526791,1.33E-15,0.489343819,0.677234733,0.367834361,0.058433988,0.677234733,0.058433988,0.000135835,0.015515252,0.438487891,0.649008395,0.007367736,0.00634955,0.367834361,0.367834361,0.677234733,0.043152309,0.677234733,0.047479772,0,0.629754961,0.309400372,0.043152309,0.043152309,0.043152309,0.000198889,0.014509052,0.043152309,0.454138978
1,1,1,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.75006335,55.47257785,0.003,74,0.15,0,0.003846971,0.040977128,0.001062496,0.512097527,0.171592989,0.493611573,0.334598664,0.011271741,0.001708778,0.000198351,0.182500075,0.001368367,0.004195186,0.015332838,0.266952695,0.003088686,0.001635216,0.011696257,0.009759155,0.034572677,0.064414228,0.000815574,0.000314672,0.001517484,0.012795119,0.087716161,0,1.051101187,0.073589455,0.00084812,0.000664963,0.001550529,1.147238851,2.418479098,0.535503994,0.02556352,0.031317127,0.695981901,2.415460295,4.967494449,0.014960978,5.40E-05,0.386028369,0.00648448,0.1411515,0.260780833,0.061153632,0.012462767,0.105275505,0.155677499,0.70075976,2.582214024,0.731915348,-2.66E-15,0.524256006,0.747309705,0.404280993,0.06125228,0.747309705,0.06125228,0.00016694,0.0179803,0.494001365,0.71715139,0.008108441,0.006818091,0.404280993,0.404280993,0.747309705,0.053933806,0.747309705,0.052427701,0,0.694882004,0.343028712,0.053933806,0.053933806,0.053933806,0.000162574,0.015231783,0.053933806,0.512148605
1,1,1,1.05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.75006335,55.47257785,0.003,74,0.15,0,0.003846971,0.040977128,0.001062496,0.512097527,0.171592989,0.493611573,0.334598664,0.011271741,0.001708778,0.000198351,0.182500075,0.001368367,0.004195186,0.015332838,0.266952695,0.003088686,0.001635216,0.011696257,0.009759155,0.034572677,0.064414228,0.000815574,0.000314672,0.001517484,0.012795119,0.087716161,0,1.051101187,0.073589455,0.00084812,0.000664963,0.001550529,1.141529885,2.412237823,0.539342282,0.025389808,0.031499498,0.700034775,2.428387217,4.944238149,0.013458929,5.14E-05,0.386627641,0.006524125,0.142160711,0.260860607,0.061447538,0.012564138,0.09694045,0.155482557,0.708457126,2.601054778,0.734954658,2.00E-15,0.526304812,0.75035242,0.405811069,0.061269718,0.75035242,0.061269718,0.000168218,0.018075648,0.496085796,0.720136559,0.008140752,0.006838012,0.405811069,0.405811069,0.75035242,0.054259297,0.75035242,0.052655801,0,0.697696619,0.344541351,0.054259297,0.054259297,0.054259297,0.000160665,0.015237097,0.054259297,0.514329662
1,1,1,1,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55.75006335,55.47257785,0.003,74,0.15,0,0.003846971,0.040977128,0.001062496,0.512097527,0.171592989,0.493611573,0.334598664,0.011271741,0.001708778,0.000198351,0.182500075,0.001368367,0.004195186,0.015332838,0.266952695,0.003088686,0.001635216,0.011696257,0.009759155,0.034572677,0.064414228,0.000815574,0.000314672,0.001517484,0.012795119,0.087716161,0,1.051101187,0.073589455,0.00084812,0.000664963,0.001550529,1.162324752,2.444407478,0.520925138,0.025934441,0.029770834,0.661618971,2.359118669,5.071675871,0.013742898,4.93E-05,0.383471562,0.006331767,0.137356866,0.25790277,0.06002796,0.012028194,0.097949846,0.157049871,0.672422914,2.500121964,0.718587223,-6.66E-16,0.515165223,0.733826442,0.397224558,0.060622674,0.733826442,0.060622674,0.000161441,0.017564996,0.48485715,0.704057621,0.007966578,0.006730125,0.397224558,0.397224558,0.733826442,0.052679515,0.733826442,0.051480057,0,0.682346385,0.336601884,0.052679515,0.052679515,0.052679515,0.000167101,0.015072118,0.052679515,0.502583588
